#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1,verdens første bil,dk,0,800,2.5,0.71,verden første bil,10/01/2022 21:18,"Featured snippet,People also ask,Sitelinks,Image pack",1400,700
2,bil spil,dk,0,800,1.2,0.85,bilspil,22/01/2022 03:54,"Sitelinks,Top stories,Videos",1000,800
3,lejning af bil,dk,57,800,0.5,1,biludlejning,13/01/2022 10:07,"Adwords top,Sitelinks,People also ask",800,6600
4,korttidsleasing bil,dk,3,800,0.9,2.42,korttidsleasing,10/01/2022 19:36,"Knowledge panel,People also ask,Sitelinks",1400,1300
5,tablet holder til bil,dk,0,800,0.8,1.59,tablet holder til bil,11/01/2022 08:54,"Sitelinks,Image pack,Top stories,Videos",800,1000
6,købt brugt bil,dk,22,800,,,biltorvet,13/01/2022 15:46,"Sitelinks,People also ask",800,71000
7,registreringsnummer bil,dk,32,800,0.2,1.04,tjek nummerplade,19/01/2022 02:44,"Sitelinks,People also ask",3700,132000
8,køletasker til bil,dk,0,800,,,køletaske,11/01/2022 01:25,"Sitelinks,Image pack",800,6400
9,hundegitter til bil,dk,0,800,0.4,2.18,hundegitter til bil,23/01/2022 02:34,"Image pack,Sitelinks",800,1300
10,mest solgte bil 2020,dk,0,800,,,mest solgte bil 2020,15/01/2022 15:07,"Featured snippet,People also ask,Sitelinks,Top stories,Videos,Image pack",1100,400
11,bil nummerplade,dk,28,800,0.45,1.07,nummerplade,16/01/2022 19:50,"Sitelinks,People also ask,Image pack",900,287000
12,lego technic bil,dk,0,800,0.5,0.75,lego technic,12/01/2022 08:40,"Shopping results,Thumbnails,Image pack,Sitelinks,Top stories,Videos",1700,5400
13,if forsikring bil,dk,0,800,0.9,0.94,bil forsikring,16/01/2022 04:10,"People also ask,Sitelinks",2600,9800
14,kamera til bil,dk,2,800,0.6,1.42,kamera til bil,21/01/2022 23:04,"Sitelinks,People also ask,Image pack",900,700
15,syn bil,dk,17,800,0.25,0.8,syn,16/01/2022 23:54,"Sitelinks,People also ask",900,6200
16,lego bil,dk,0,800,0.35,0.52,lego bil,21/01/2022 01:28,"Sitelinks,Image pack,Top stories,Videos",3000,150
17,brugt bil med automatgear,dk,3,800,0.2,1.51,brugt bil med automatgear,09/01/2022 01:02,"Sitelinks,People also ask,Image pack",800,1400
18,bil info,dk,45,800,1.8,1.2,tjek nummerplade,15/01/2022 15:03,"Sitelinks,People also ask",6500,135000
19,bluetooth til bil,dk,0,800,0.6,1.26,bluetooth til bil,09/01/2022 09:08,"Shopping results,Thumbnails,Sitelinks,Top stories,Videos",900,800
20,hvornår er en bil veteranbil,dk,0,800,0.35,0.83,hvornår er en bil veteran,08/01/2022 23:40,"Featured snippet,People also ask,Sitelinks",800,1800
