#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
1,bt,dk,6,5210000,0.45,1.0,bt,28/01/2022 08:06,"Sitelinks,Knowledge panel",6880000,5750000,0,1,1,0,29-01-2022 09:52:26
2,eb,dk,6,3370000,2.5,1.02,ekstrabladet,23/01/2022 04:34,"Sitelinks,Knowledge panel",4170000,10800000,0,1,1,0,29-01-2022 09:51:45
3,tv2,dk,74,2670000,0.09,0.96,tv2,25/01/2022 09:55,"Sitelinks,Top stories,Thumbnails,Knowledge panel",4110000,2420000,0,0,0,0,29-01-2022 09:54:48
4,vejret,dk,28,1480000,0.04,0.56,dmi,24/01/2022 18:47,"Sitelinks,People also ask",1520000,885000,0,0,0,0,29-01-2022 09:48:16
5,dr,dk,45,949000,2.0,0.98,dr,23/01/2022 01:40,"Sitelinks,Top stories,Thumbnails,People also ask,Knowledge panel",9080000,1470000,0,1,1,0,29-01-2022 09:48:37
6,xnxx,dk,81,850000,1.7,1.03,xnxx,23/01/2022 05:30,Sitelinks,669400000,1070000,0,0,0,0,29-01-2022 09:51:01
7,nyheder,dk,57,848000,1.3,1.52,tv2 nyhederne,27/01/2022 19:13,Sitelinks,870000,2460000,0,0,0,0,29-01-2022 09:51:35
8,yt,dk,97,833000,0.3,1.06,youtube,25/01/2022 05:51,"Sitelinks,People also ask,Knowledge panel",64960000,3810000,0,1,1,0,29-01-2022 09:48:05
9,dmi,dk,10,680000,0.15,1.01,dmi,23/01/2022 10:02,"Sitelinks,Tweet box,Knowledge panel",849000,886000,0,0,0,0,29-01-2022 09:54:37
10,jysk,dk,7,608000,0.02,0.95,jysk,25/01/2022 04:57,"Sitelinks,People also ask,Knowledge panel,Image pack",7690000,372000,0,0,0,0,29-01-2022 09:48:45
11,tvguide,dk,51,563000,0.15,1.03,tv guide,23/01/2022 02:56,"Sitelinks,Top stories,Thumbnails,Knowledge panel",750000,1090000,0,0,0,0,29-01-2022 09:52:54
12,netflix,dk,83,503000,0.8,1.02,netflix,26/01/2022 19:32,"Sitelinks,People also ask,Knowledge panel",132400000,492000,0,0,0,0,29-01-2022 09:47:38
13,nyhder,dk,64,376000,0.0,1.08,tv2 nyhederne,24/01/2022 12:49,"Sitelinks,Top stories,Thumbnails",376000,2470000,1,1,1,1,29-01-2022 09:56:16
14,jp,dk,95,367000,0.4,1.01,jp,26/01/2022 15:29,"Sitelinks,Knowledge panel",769000,533000,0,1,1,0,29-01-2022 09:49:28
15,redtube,dk,49,351000,0.05,1.05,redtube,24/01/2022 17:05,"Sitelinks,Knowledge panel",35480000,391000,0,0,0,0,29-01-2022 09:52:04
16,sundhed,dk,11,340000,1.2,0.93,sundhed.dk,24/01/2022 17:19,Sitelinks,342000,760000,0,0,0,0,29-01-2022 09:48:54
17,berlingske,dk,70,332000,1.0,0.98,berlingske,27/01/2022 16:43,"Sitelinks,Tweet box,People also ask,Image pack,Knowledge panel",361000,292000,1,0,1,0,29-01-2022 09:55:26
18,myheder,dk,64,305000,0.15,1.08,tv2 nyhederne,24/01/2022 10:42,"Sitelinks,Top stories,Thumbnails",305000,2470000,1,1,1,1,29-01-2022 09:49:17
19,drev,dk,11,304000,0.4,0.03,drev,24/01/2022 18:46,"People also ask,Sitelinks",313000,12000,1,0,0,0,29-01-2022 09:47:38
20,linkedin,dk,0,278000,0.35,1.0,linkedin,27/01/2022 20:20,"Sitelinks,People also ask,Knowledge panel",43490000,469000,0,0,0,0,29-01-2022 09:55:31
21,bet365,dk,24,277000,0.04,1.05,bet365,27/01/2022 03:31,"Adwords top,Sitelinks,Knowledge panel",42710000,92000,0,0,0,0,29-01-2022 09:54:31
22,y8,dk,30,275000,0.4,1.06,y8,25/01/2022 13:49,"Sitelinks,People also ask",12690000,273000,0,1,1,0,29-01-2022 09:50:39
23,lidl,dk,7,261000,0.01,0.9,lidl,27/01/2022 09:52,"Sitelinks,Knowledge panel",25680000,213000,0,0,0,0,29-01-2022 09:54:11
24,feriepenge,dk,20,249000,0.45,1.02,feriepenge,24/01/2022 22:39,Sitelinks,256000,297000,0,0,1,0,29-01-2022 09:51:12
25,twitch,dk,88,226000,0.4,1.02,twitch,23/01/2022 00:23,"Sitelinks,People also ask,Knowledge panel",51810000,224000,0,0,0,0,29-01-2022 09:48:11
26,drdk,dk,18,224000,0.7,1.01,dr,28/01/2022 10:04,"Sitelinks,Top stories,Thumbnails,People also ask",227000,1590000,1,0,0,0,29-01-2022 09:48:51
27,pricerunner,dk,1,216000,0.03,0.98,pricerunner,28/01/2022 11:43,"Sitelinks,Knowledge panel",444000,209000,0,0,0,0,29-01-2022 09:48:43
28,jv,dk,1,196000,0.35,1.01,jv,25/01/2022 11:00,"Sitelinks,People also ask,Knowledge panel",438000,346000,0,1,1,0,29-01-2022 09:53:40
29,drtv,dk,46,193000,0.3,1.0,dr tv,26/01/2022 22:25,"Sitelinks,People also ask,Knowledge panel",213000,809000,1,0,0,0,29-01-2022 09:48:11
30,yr,dk,6,191000,0.02,0.98,yr,23/01/2022 16:09,"Sitelinks,Knowledge panel",2320000,269000,0,1,1,0,29-01-2022 09:51:24
31,hm,dk,70,186000,0.15,1.01,hm,26/01/2022 15:41,"Sitelinks,People also ask,Knowledge panel",14250000,517000,0,1,1,0,29-01-2022 09:50:12
32,xxx,dk,81,176000,0.2,1.13,xxx,26/01/2022 19:03,Sitelinks,489600000,157000,0,0,0,0,29-01-2022 09:55:52
33,bilks,dk,12,168000,0.02,0.69,bilka,23/01/2022 18:06,"Sitelinks,Knowledge panel,People also ask,Image pack",168000,593000,1,0,1,0,29-01-2022 09:49:51
34,g,dk,22,165000,4.5,0.11,google,24/01/2022 04:35,"Sitelinks,Image pack",37300000,196000,0,1,1,0,29-01-2022 09:47:38
35,pinterest,dk,61,158000,0.5,1.01,pinterest,25/01/2022 03:11,"People also ask,Knowledge panel,Sitelinks",64850000,87000,0,0,0,0,29-01-2022 09:49:28
36,messenger,dk,70,155000,0.3,1.02,messenger,27/01/2022 19:29,"Sitelinks,People also ask",25130000,198000,1,0,0,0,29-01-2022 09:52:59
37,kvickly,dk,3,152000,0.03,0.84,kvickly,26/01/2022 16:01,"Sitelinks,People also ask,Knowledge panel",154000,108000,1,0,1,0,29-01-2022 09:49:50
