keyword,nu,com,net,dk,checking_date
bilspil,1,0,1,0,2022-01-25 13-20-43
bilauktionpoliti,1,1,1,1,2022-01-25 13-20-43
wvbil,1,1,1,1,2022-01-25 13-20-47
bilkort,1,0,1,1,2022-01-25 13-20-48
bilogco,1,0,1,0,2022-01-25 13-20-48
bedstebrugtebil2021,1,1,1,1,2022-01-25 13-20-51
lejningafbil,1,1,1,1,2022-01-25 13-20-52
olsenbandenbil,1,1,1,1,2022-01-25 13-20-52
fribilbeskatning,1,1,1,1,2022-01-25 13-20-57
sporingafbilpris,1,1,1,1,2022-01-25 13-20-58
tjekbildk,1,1,1,1,2022-01-25 13-20-58
leasingafbilbillig,1,1,1,1,2022-01-25 13-21-01
korttidsleasingbil,1,1,1,1,2022-01-25 13-21-01
brianbil,1,1,1,1,2022-01-25 13-21-02
brintbil,1,1,1,0,2022-01-25 13-21-08
bilnyheder,1,0,1,0,2022-01-25 13-21-08
rustbeskyttelsebil,1,1,1,1,2022-01-25 13-21-09
konfiskeringafbil,1,0,1,1,2022-01-25 13-21-12
tabletholdertilbil,1,1,1,1,2022-01-25 13-21-13
stelnummerbil,1,1,1,1,2022-01-25 13-21-13
billigsteleasingbil2020,1,1,1,1,2022-01-25 13-21-14
mcqueenbil,1,1,1,1,2022-01-25 13-21-18
biltjek,1,0,1,0,2022-01-25 13-21-18
ledlystilbil,1,1,1,1,2022-01-25 13-21-19
registreringsnummerbil,1,1,1,1,2022-01-25 13-21-22
polestarbil,1,1,1,1,2022-01-25 13-21-22
streamertilbil,1,1,1,1,2022-01-25 13-21-22
skrotbil,0,0,0,0,2022-01-25 13-21-24
hvadkosterdetathavebil,1,1,1,1,2022-01-25 13-21-25
billigforsikringbil,1,1,1,1,2022-01-25 13-21-29
importafbil,1,1,1,0,2022-01-25 13-21-29
nedvejningafbil,1,1,1,1,2022-01-25 13-21-30
hundegittertilbil,1,1,1,1,2022-01-25 13-21-31
forsikringafbil,1,1,1,1,2022-01-25 13-21-32
ledlystilbil,1,1,1,1,2022-01-25 13-21-32
ansvarsforsikringbilpris,1,1,1,1,2022-01-25 13-21-32
biludenudbetaling,1,1,1,0,2022-01-25 13-21-34
mpvbil,1,1,1,1,2022-01-25 13-21-34
kaybojesenbil,1,1,1,1,2022-01-25 13-21-38
mini-leasebil,1,1,1,1,2022-01-25 13-21-38
navigationtilbil,1,1,1,1,2022-01-25 13-21-39
elladertilbil,1,1,1,1,2022-01-25 13-21-40
mestsolgtebil2020,1,1,1,1,2022-01-25 13-21-40
epcbil,1,1,1,1,2022-01-25 13-21-41
ruteplannerbil,1,1,1,1,2022-01-25 13-21-41
boostertilbil,1,1,1,1,2022-01-25 13-21-42
billigbiltilsalg,1,1,1,0,2022-01-25 13-21-43
politibil,1,0,1,0,2022-01-25 13-21-45
folieringafbil,1,1,1,1,2022-01-25 13-21-45
tagtelttilbil,1,1,1,1,2022-01-25 13-21-47
bilaktion,1,1,1,1,2022-01-25 13-21-47
synsrapportbil,1,1,1,1,2022-01-25 13-21-48
teslabil,1,1,1,1,2022-01-25 13-21-48
bilnummerplade,1,1,1,1,2022-01-25 13-21-49
indregistreringafbil,1,1,1,1,2022-01-25 13-21-50
kaskoforsikringbil,1,1,1,1,2022-01-25 13-21-51
bilmagasinet,0,0,0,0,2022-01-25 13-21-51
billigbilleasing,1,1,1,1,2022-01-25 13-21-54
leasingbilerhverv,1,1,1,1,2022-01-25 13-21-55
gpstrackerbil,1,1,1,1,2022-01-25 13-21-56
billigbilforsikring,0,0,1,0,2022-01-25 13-21-57
udlejningafbil,0,1,1,1,2022-01-25 13-21-57
billigsteleasingbil2021,1,1,1,1,2022-01-25 13-21-57
leasingafbrugtbiludenudbetaling,1,1,1,1,2022-01-25 13-21-58
legotechnicbil,1,1,1,1,2022-01-25 13-21-58
automatgearbil,1,1,1,1,2022-01-25 13-21-59
bilfinansiering,0,0,0,0,2022-01-25 13-22-02
hvilkenoliebrugerminbil,1,1,1,1,2022-01-25 13-22-02
lejenbilforendag,1,1,1,1,2022-01-25 13-22-02
nybiludenudbetaling,1,1,1,1,2022-01-25 13-22-04
findejerafbil,1,1,1,1,2022-01-25 13-22-06
verdensgrimmestebil,1,1,1,1,2022-01-25 13-22-06
bilmedautomatgear,1,0,1,1,2022-01-25 13-22-06
ifforsikringbil,1,1,1,1,2022-01-25 13-22-07
amerikanerbil,1,1,1,0,2022-01-25 13-22-07
billigleasingafbil,1,1,1,1,2022-01-25 13-22-07
brugtbilranders,1,1,1,1,2022-01-25 13-22-08
skrotpriserbil,1,1,0,1,2022-01-25 13-22-09
subwoofertilbil,1,1,1,1,2022-01-25 13-22-11
aktivsubwooferbil,1,1,1,1,2022-01-25 13-22-12
upbil,1,0,1,1,2022-01-25 13-22-13
leasingafbilerhverv,1,1,1,1,2022-01-25 13-22-14
hundeburtilbilbiltema,1,1,1,1,2022-01-25 13-22-15
findbil,0,1,1,0,2022-01-25 13-22-15
kameratilbil,1,1,1,1,2022-01-25 13-22-15
brugthybridbil,1,1,1,1,2022-01-25 13-22-16
hundeburetilbil,1,1,1,1,2022-01-25 13-22-16
telttilbil,1,1,1,1,2022-01-25 13-22-17
beregneforsikringbil,1,1,1,1,2022-01-25 13-22-17
brugtbilforhandler,1,1,1,1,2022-01-25 13-22-18
lifttilbil,1,1,1,1,2022-01-25 13-22-20
airconditionbil,1,1,1,1,2022-01-25 13-22-21
salgafbilprivat,1,1,1,1,2022-01-25 13-22-21
danmarksbilligstebil,1,1,1,1,2022-01-25 13-22-23
hunderampetilbil,1,1,1,1,2022-01-25 13-22-24
synbil,1,1,1,0,2022-01-25 13-22-24
batteriertilbil,1,1,1,1,2022-01-25 13-22-24
vwbil,1,1,1,1,2022-01-25 13-22-25
plug-inhybridbil,1,1,1,1,2022-01-25 13-22-25
