keyword,nu,com,net,dk,checking_date
hjemisbil,1,1,1,1,2022-01-26 16-34-14
hunderampetilbil,1,1,1,1,2022-01-26 16-34-16
billigsteleasingbil2021,1,1,1,1,2022-01-26 16-34-16
bilbank,1,0,1,0,2022-01-26 16-34-16
findbil,0,1,1,0,2022-01-26 16-34-18
polobil,1,0,1,1,2022-01-26 16-34-20
biludenudbetaling,1,1,0,0,2022-01-26 16-34-23
turanbil,1,1,1,1,2022-01-26 16-34-23
bildele,1,0,1,0,2022-01-26 16-34-24
bilpleje,0,0,0,0,2022-01-26 16-34-24
cobrabil,1,1,1,1,2022-01-26 16-34-26
importafbil,1,1,1,0,2022-01-26 16-34-27
ansvarsforsikringbilpris,1,1,1,1,2022-01-26 16-34-31
fjernstyretbilbenzin,1,0,1,1,2022-01-26 16-34-32
serviceaftalebil,1,1,1,1,2022-01-26 16-34-32
lakeringafbil,1,1,1,1,2022-01-26 16-34-32
servicebil,1,1,1,0,2022-01-26 16-34-32
upbil,1,0,1,1,2022-01-26 16-34-32
bobbelbil,1,1,1,0,2022-01-26 16-34-34
pawpatrolbil,1,1,0,1,2022-01-26 16-34-35
mpvbil,1,0,1,1,2022-01-26 16-34-37
kameratilbil,1,1,1,1,2022-01-26 16-34-38
bilogco,1,0,0,0,2022-01-26 16-34-38
bedstemobilholdertilbil,1,1,1,1,2022-01-26 16-34-38
ringstedbilauktion,1,1,1,1,2022-01-26 16-34-39
gammelbil,1,1,1,1,2022-01-26 16-34-39
leasingafbrugtbiludenudbetaling,1,1,1,1,2022-01-26 16-34-39
stabil,0,0,0,0,2022-01-26 16-34-40
aktivsubwooferbil,1,0,1,1,2022-01-26 16-34-42
bilvurdering,1,0,1,0,2022-01-26 16-34-43
hundeburtilbilbiltema,0,1,1,1,2022-01-26 16-34-44
dufttilbil,1,0,1,1,2022-01-26 16-34-44
bedstebrugtebil2021,1,1,1,0,2022-01-26 16-34-45
automatgearbil,1,1,0,1,2022-01-26 16-34-46
bilkort,1,0,0,1,2022-01-26 16-34-46
lynetmcqueenbil,1,1,1,1,2022-01-26 16-34-46
bilmedautomatgear,1,1,1,0,2022-01-26 16-34-47
brugtbilvejle,1,0,1,1,2022-01-26 16-34-47
bildba,1,1,1,1,2022-01-26 16-34-47
boostertilbil,1,1,0,1,2022-01-26 16-34-49
nybiludenudbetaling,1,1,1,1,2022-01-26 16-34-51
elladertilbil,1,1,1,1,2022-01-26 16-34-51
bilregistrering,1,1,1,1,2022-01-26 16-34-52
udlejningafbil,1,1,1,1,2022-01-26 16-34-52
tjekbildk,1,1,1,1,2022-01-26 16-34-52
kaybojesenbil,1,1,1,1,2022-01-26 16-34-53
batteriertilbil,1,1,1,1,2022-01-26 16-34-53
billigforsikringbil,1,1,1,1,2022-01-26 16-34-54
grufmanbil,1,1,1,1,2022-01-26 16-34-56
opladertilbil,1,1,1,1,2022-01-26 16-34-57
ledlystilbil,1,1,1,1,2022-01-26 16-34-58
billigsteleasingbil2020,1,1,1,1,2022-01-26 16-34-59
billignybil,1,0,1,0,2022-01-26 16-34-59
fribil,1,0,1,0,2022-01-26 16-34-59
brianbil,1,1,1,1,2022-01-26 16-34-59
leasingbilerhverv,1,1,1,1,2022-01-26 16-35-00
politibil,1,0,1,0,2022-01-26 16-35-00
mestsolgtebil2020,1,1,0,1,2022-01-26 16-35-01
