#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
2,bilspil,dk,0,800,1.2,0.85,bilspil,22/01/2022 03:54,"Sitelinks,Top stories,Videos",1000,800,1,0,0,0,2022-01-27 00-09-12
3,lejningafbil,dk,57,800,0.5,1.0,biludlejning,13/01/2022 10:07,"Adwords top,Sitelinks,People also ask",800,6600,1,1,0,1,2022-01-27 00-08-32
4,korttidsleasingbil,dk,3,800,0.9,2.42,korttidsleasing,10/01/2022 19:36,"Knowledge panel,People also ask,Sitelinks",1400,1300,1,1,1,1,2022-01-27 00-07-37
5,tabletholdertilbil,dk,0,800,0.8,1.59,tablet holder til bil,11/01/2022 08:54,"Sitelinks,Image pack,Top stories,Videos",800,1000,1,0,1,1,2022-01-27 00-09-07
7,registreringsnummerbil,dk,32,800,0.2,1.04,tjek nummerplade,19/01/2022 02:44,"Sitelinks,People also ask",3700,132000,1,0,1,1,2022-01-27 00-09-14
9,hundegittertilbil,dk,0,800,0.4,2.18,hundegitter til bil,23/01/2022 02:34,"Image pack,Sitelinks",800,1300,1,0,0,1,2022-01-27 00-07-59
10,mestsolgtebil2020,dk,0,800,,,mest solgte bil 2020,15/01/2022 15:07,"Featured snippet,People also ask,Sitelinks,Top stories,Videos,Image pack",1100,400,1,1,1,1,2022-01-27 00-06-53
11,bilnummerplade,dk,28,800,0.45,1.07,nummerplade,16/01/2022 19:50,"Sitelinks,People also ask,Image pack",900,287000,1,0,0,1,2022-01-27 00-08-52
12,legotechnicbil,dk,0,800,0.5,0.75,lego technic,12/01/2022 08:40,"Shopping results,Thumbnails,Image pack,Sitelinks,Top stories,Videos",1700,5400,1,0,1,1,2022-01-27 00-07-18
13,ifforsikringbil,dk,0,800,0.9,0.94,bil forsikring,16/01/2022 04:10,"People also ask,Sitelinks",2600,9800,0,1,1,0,2022-01-27 00-08-16
14,kameratilbil,dk,2,800,0.6,1.42,kamera til bil,21/01/2022 23:04,"Sitelinks,People also ask,Image pack",900,700,1,1,1,0,2022-01-27 00-08-51
15,synbil,dk,17,800,0.25,0.8,syn,16/01/2022 23:54,"Sitelinks,People also ask",900,6200,1,1,0,0,2022-01-27 00-08-02
16,legobil,dk,0,800,0.35,0.52,lego bil,21/01/2022 01:28,"Sitelinks,Image pack,Top stories,Videos",3000,150,1,1,1,1,2022-01-27 00-08-42
17,brugtbilmedautomatgear,dk,3,800,0.2,1.51,brugt bil med automatgear,09/01/2022 01:02,"Sitelinks,People also ask,Image pack",800,1400,1,1,1,1,2022-01-27 00-09-08
18,bilinfo,dk,45,800,1.8,1.2,tjek nummerplade,15/01/2022 15:03,"Sitelinks,People also ask",6500,135000,0,0,0,0,2022-01-27 00-08-56
19,bluetoothtilbil,dk,0,800,0.6,1.26,bluetooth til bil,09/01/2022 09:08,"Shopping results,Thumbnails,Sitelinks,Top stories,Videos",900,800,0,1,1,1,2022-01-27 00-07-37
21,stelnummerbil,dk,13,800,1.2,1.24,nummerplade,22/01/2022 14:14,"People also ask,Sitelinks,Image pack",800,297000,0,1,0,1,2022-01-27 00-09-23
22,skrotbil,dk,19,800,1.6,1.44,skrotpræmie,21/01/2022 21:33,"Sitelinks,People also ask",1400,12000,0,0,0,0,2022-01-27 00-08-34
24,biludenudbetaling,dk,3,800,1.4,1.32,biler uden udbetaling,10/01/2022 22:33,"Adwords top,People also ask,Sitelinks",800,1400,1,0,0,0,2022-01-27 00-06-56
27,politibil,dk,0,700,0.0,0.17,politi køretøjer,11/01/2022 18:43,"Image pack,Sitelinks,Top stories,Videos",1000,60,0,0,0,0,2022-01-27 00-08-07
28,billigbilforsikring,dk,32,700,9.0,1.22,billig bilforsikring,10/01/2022 13:46,"Adwords top,Featured snippet,Sitelinks,People also ask,Adwords bottom",800,2700,0,0,1,0,2022-01-27 00-09-21
30,amerikanerbil,dk,2,700,0.3,0.74,amerikanerbiler til salg,15/01/2022 19:35,"Featured snippet,Sitelinks",900,1700,0,0,1,0,2022-01-27 00-08-04
31,beregneforsikringbil,dk,14,700,1.6,,bilforsikring,19/01/2022 14:26,"Adwords top,People also ask,Sitelinks",800,13000,1,1,0,1,2022-01-27 00-08-19
32,bilregistrering,dk,19,700,0.6,1.03,nummerplader,09/01/2022 02:40,"Sitelinks,People also ask,Image pack",1300,91000,1,1,1,1,2022-01-27 00-08-00
33,bildba,dk,0,700,,1.03,dba biler,18/01/2022 01:08,"Sitelinks,People also ask,Image pack",700,32000,1,1,1,1,2022-01-27 00-09-09
34,bilvurdering,dk,5,700,0.4,1.73,bilvurdering,22/01/2022 00:52,"People also ask,Sitelinks",800,2100,0,0,0,0,2022-01-27 00-09-13
35,advarselslamperbilsymboler,dk,0,700,,,bil symboler betydelse,16/01/2022 07:38,"Image pack,People also ask,Sitelinks",700,1000,1,1,1,1,2022-01-27 00-07-19
36,erhvervsleasingbil,dk,5,700,3.0,1.45,erhvervsleasing,12/01/2022 10:20,"Sitelinks,People also ask,Adwords bottom",800,4700,1,1,1,1,2022-01-27 00-07-59
37,ringstedbilauktion,dk,2,700,0.8,,bilauktion ringsted,20/01/2022 06:24,"Sitelinks,Knowledge panel,Image pack",700,1500,1,1,1,1,2022-01-27 00-07-25
38,bilvask,dk,9,700,0.2,0.56,bilvask,12/01/2022 19:26,"Adwords top,People also ask,Sitelinks,Top stories,Videos",1100,6200,0,0,0,0,2022-01-27 00-06-48
39,polobil,dk,2,700,0.4,0.41,polo,23/01/2022 02:30,"People also ask,Knowledge panel,Sitelinks",1500,3100,1,1,1,1,2022-01-27 00-08-25
40,lynetmcqueenbil,dk,0,700,0.25,0.81,lynet mcqueen bil,10/01/2022 12:25,"Sitelinks,Knowledge panel,Top stories,Videos,People also ask",1700,500,0,1,0,1,2022-01-27 00-07-41
41,polestarbil,dk,0,700,,,polestar 2,11/01/2022 10:57,"Adwords top,Sitelinks,People also ask,Top stories,Videos,Image pack",2100,7100,1,1,1,0,2022-01-27 00-08-57
42,ledlystilbil,dk,1,700,0.4,1.49,led lys bil,11/01/2022 04:44,"Sitelinks,People also ask,Top stories,Videos,Image pack",900,450,1,0,0,0,2022-01-27 00-08-01
66,ledlystilbil,dk,1,600,,,ledlys til bil,18/01/2022 23:38,"Shopping results,Thumbnails,People also ask,Sitelinks,Top stories,Videos",700,600,1,0,0,0,2022-01-27 00-08-01
43,ruteplannerbil,dk,6,700,0.03,1.2,ruteplanner bil,21/01/2022 16:32,Sitelinks,700,1000,0,1,1,0,2022-01-27 00-08-10
44,indregistreringafbil,dk,3,700,1.3,1.0,afmeld bil,22/01/2022 10:36,"Featured snippet,People also ask,Sitelinks",800,5700,0,0,0,1,2022-01-27 00-07-34
45,bilfinansiering,dk,2,700,3.5,1.34,bil finansiering,16/01/2022 22:26,People also ask,900,1700,0,0,0,0,2022-01-27 00-08-50
46,subwoofertilbil,dk,0,700,0.35,1.72,subwoofer til bil,21/01/2022 22:05,"Sitelinks,Image pack",800,1100,0,1,1,0,2022-01-27 00-08-55
47,lifttilbil,dk,1,700,0.4,1.16,lift til bil,22/01/2022 21:30,"Sitelinks,Image pack",700,300,0,0,1,1,2022-01-27 00-08-29
50,dashcamtilbil,dk,3,700,0.6,,dashcam,19/01/2022 00:44,"Sitelinks,People also ask,Image pack",800,3600,1,0,1,1,2022-01-27 00-09-00
52,leaseenbil,dk,33,700,1.1,1.33,leasing af bil,12/01/2022 07:36,"Adwords top,People also ask,Sitelinks",800,16000,0,1,0,1,2022-01-27 00-07-57
53,leasingbilprivat,dk,12,700,0.5,1.58,privat leasing,09/01/2022 13:35,"Sitelinks,People also ask",1400,8600,0,1,1,0,2022-01-27 00-09-17
54,bilbank,dk,12,700,3.0,1.03,bil bank,14/01/2022 14:01,"Sitelinks,Knowledge panel",1700,800,1,0,0,0,2022-01-27 00-08-24
55,vwbrugtbil,dk,2,700,,,vw brugt bil,08/01/2022 23:59,Sitelinks,700,1200,0,1,1,1,2022-01-27 00-07-55
56,ladbil,dk,0,700,0.35,,lad bil,19/01/2022 05:10,"Sitelinks,Image pack",700,450,1,0,0,0,2022-01-27 00-08-29
57,oliefyrtilbil,dk,1,700,0.3,1.58,oliefyr til bil,15/01/2022 10:44,"Featured snippet,Sitelinks,People also ask",700,500,0,0,0,1,2022-01-27 00-09-03
58,brugtbilvejle,dk,5,700,0.3,,brugt bil vejle,11/01/2022 21:55,Sitelinks,700,350,1,0,1,1,2022-01-27 00-09-19
59,turanbil,dk,2,700,0.3,0.55,vw touran,15/01/2022 03:29,"Knowledge panel,Sitelinks",800,2900,1,1,0,1,2022-01-27 00-08-01
60,vodskovbil,dk,6,700,,,autotorvet,18/01/2022 23:27,"Sitelinks,Image pack",700,6600,1,1,0,1,2022-01-27 00-09-03
62,bilogco,dk,0,700,0.02,0.92,bil og co,22/01/2022 23:47,"Sitelinks,Top stories,Videos",700,1100,1,0,0,0,2022-01-27 00-07-19
63,tjekbildk,dk,28,700,,,tjek nummerplade,21/01/2022 01:48,"Sitelinks,People also ask,Knowledge panel",700,120000,1,1,0,0,2022-01-27 00-07-28
64,rustbeskyttelsebil,dk,3,600,0.3,1.05,dinitrol,12/01/2022 21:47,"Adwords top,People also ask,Sitelinks,Image pack",800,1900,0,1,1,1,2022-01-27 00-07-11
67,billigforsikringbil,dk,28,600,4.0,1.43,alka bilforsikring,12/01/2022 21:27,"Adwords top,Sitelinks,People also ask",800,17000,0,0,1,1,2022-01-27 00-08-37
68,navigationtilbil,dk,0,600,0.5,1.17,gps,20/01/2022 12:47,"People also ask,Sitelinks",600,1000,1,1,1,1,2022-01-27 00-07-33
70,synsrapportbil,dk,5,600,0.6,1.18,synsrapport,17/01/2022 01:59,"Sitelinks,People also ask,Image pack",600,15000,1,1,1,1,2022-01-27 00-08-10
71,udlejningafbil,dk,57,600,2.5,1.02,biludlejning,12/01/2022 23:18,"Adwords top,Sitelinks,People also ask",600,6700,1,1,1,1,2022-01-27 00-07-03
72,verdensgrimmestebil,dk,0,600,0.0,0.26,grimmeste biler,17/01/2022 10:56,"Image pack,Sitelinks,People also ask,Top stories,Videos",600,200,1,1,0,1,2022-01-27 00-07-54
73,findbil,dk,57,600,0.25,1.13,tjek nummerplade,15/01/2022 04:22,"Sitelinks,People also ask",700,135000,0,0,0,0,2022-01-27 00-08-12
75,batteriertilbil,dk,3,600,0.2,,bilbatteri,13/01/2022 15:32,"Sitelinks,People also ask",600,2800,1,1,1,0,2022-01-27 00-08-39
76,lexusbil,dk,1,600,0.8,,lexus,10/01/2022 16:49,"Sitelinks,People also ask,Image pack,Top stories,Videos,Thumbnails",1100,1500,0,1,0,1,2022-01-27 00-09-02
77,hjemisbil,dk,1,600,0.02,1.08,hjemis,13/01/2022 04:37,"Sitelinks,People also ask,Knowledge panel",700,52000,1,1,0,1,2022-01-27 00-09-04
79,bilservice,dk,2,600,1.3,0.95,serviceeftersyn,23/01/2022 00:21,People also ask,2000,900,0,0,0,0,2022-01-27 00-07-27
82,bilauktionpoliti,dk,4,600,,,politi auktion biler,19/01/2022 20:39,"People also ask,Sitelinks,Image pack",600,800,1,0,0,1,2022-01-27 00-08-53
83,olsenbandenbil,dk,0,600,0.0,0.96,olsen banden bil,14/01/2022 11:42,"Featured snippet,People also ask,Top stories,Videos,Sitelinks",600,200,1,1,1,1,2022-01-27 00-07-33
84,brianbil,dk,6,600,0.5,0.36,brian bil,16/01/2022 17:07,"Image pack,Sitelinks,Top stories,Videos",600,60,1,1,1,1,2022-01-27 00-07-32
85,billigsteleasingbil2020,dk,6,600,,,billig leasing,13/01/2022 23:49,,600,9100,1,1,0,1,2022-01-27 00-09-08
86,hvadkosterdetathavebil,dk,0,600,3.0,1.55,hvad koster det at have bil,15/01/2022 22:07,"Featured snippet,People also ask,Sitelinks",600,800,1,1,1,1,2022-01-27 00-08-42
87,mpvbil,dk,0,600,1.0,0.73,mpv bil,14/01/2022 22:08,"People also ask,Sitelinks,Image pack",800,300,0,1,1,1,2022-01-27 00-08-48
88,billigbiltilsalg,dk,19,600,1.0,1.28,biltorvet,15/01/2022 14:13,Sitelinks,600,70000,1,1,1,0,2022-01-27 00-08-28
89,leasingbilerhverv,dk,6,600,2.0,1.53,fleggaard leasing,13/01/2022 11:26,"Sitelinks,People also ask",600,4400,1,1,0,1,2022-01-27 00-09-05
90,nybiludenudbetaling,dk,2,600,3.5,1.64,ny bil uden udbetaling,15/01/2022 20:09,"People also ask,Sitelinks",600,1400,0,0,1,0,2022-01-27 00-07-52
91,upbil,dk,1,600,0.09,0.62,vw up,12/01/2022 14:22,"People also ask,Knowledge panel,Sitelinks",900,11000,0,0,0,1,2022-01-27 00-07-38
92,salgafbilprivat,dk,4,600,1.0,1.27,salg af bil privat,12/01/2022 13:26,"Featured snippet,People also ask,Sitelinks",600,700,1,1,1,1,2022-01-27 00-08-07
94,dufttilbil,dk,0,600,0.8,1.36,duft til bilen,14/01/2022 01:28,"Sitelinks,Image pack",800,1000,1,1,0,1,2022-01-27 00-07-48
96,kopholdertilbil,dk,0,600,0.3,1.88,kopholder til bil,13/01/2022 13:11,"Shopping results,Thumbnails,Sitelinks,Image pack",600,600,1,1,1,1,2022-01-27 00-08-27
97,billigsteleasingbil,dk,8,600,1.3,1.6,billig leasing,11/01/2022 09:41,"People also ask,Sitelinks",800,9700,1,1,1,1,2022-01-27 00-07-22
98,bilbasenbrugtbil,dk,5,600,,,bilbasen brugte biler,19/01/2022 17:14,"Sitelinks,Image pack",600,1100,0,1,1,1,2022-01-27 00-07-49
100,trygforsikringbil,dk,1,600,1.2,0.97,bilforsikring,15/01/2022 04:59,"Sitelinks,People also ask,Adwords bottom",1200,5000,1,1,1,1,2022-01-27 00-09-02
101,bilkort,dk,0,600,0.2,,bil kort,19/01/2022 08:53,"Sitelinks,Image pack",600,150,0,0,0,0,2022-01-27 00-08-42
103,sporingafbilpris,dk,0,600,0.3,1.8,sporing af bil pris,09/01/2022 01:54,"Featured snippet,People also ask,Sitelinks",600,600,1,1,1,1,2022-01-27 00-09-22
105,brintbil,dk,5,600,0.02,1.09,toyota mirai,15/01/2022 03:39,"People also ask,Sitelinks,Knowledge panel,Top stories,Videos",600,2300,0,0,0,0,2022-01-27 00-08-26
106,biltjek,dk,34,600,0.04,1.06,nummerplader,12/01/2022 17:02,"Sitelinks,Knowledge panel,People also ask",600,94000,0,0,0,0,2022-01-27 00-09-12
109,nedvejningafbil,dk,0,600,1.0,1.39,nedvejning af bil,22/01/2022 14:10,"Sitelinks,People also ask,Image pack",600,500,0,0,1,1,2022-01-27 00-08-08
110,elladertilbil,dk,9,600,,,lader til elbil,20/01/2022 10:16,"Sitelinks,People also ask,Image pack",600,3900,1,1,1,1,2022-01-27 00-07-57
112,teslabil,dk,4,500,0.5,0.71,tesla model s,22/01/2022 08:47,"Sitelinks,People also ask,Image pack",2200,9400,1,0,0,0,2022-01-27 00-08-45
113,leasingafbrugtbiludenudbetaling,dk,2,500,1.1,1.96,leasing af brugt bil uden udbetaling,15/01/2022 08:51,"Featured snippet,People also ask,Sitelinks",500,1400,1,1,1,1,2022-01-27 00-07-59
114,skrotpriserbil,dk,9,500,0.35,1.65,skrotpriser biler,15/01/2022 09:56,"Featured snippet,People also ask,Sitelinks",600,4300,1,1,0,0,2022-01-27 00-07-30
